ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
5930,3793 - 3793,3793,3793,1,0.000000000000000
5931,3793 - 3838,3793,3838,2,457.661551490306010
5932,3793 - 3841,3793,3841,3,697.642130749300580
5933,3793 - 3795,3793,3795,4,737.216746460727110
5934,3793 - 3792,3793,3792,5,1064.382815827235200
5935,3793 - 3794,3793,3794,6,1068.921913334269000
5936,3793 - 2548,3793,2548,7,1097.602583712516200
5937,3793 - 2547,3793,2547,8,1298.873626629292400
5938,3793 - 3797,3793,3797,9,1545.495761644137900
5939,3793 - 3799,3793,3799,10,1734.999114844632500
5940,3793 - 2540,3793,2540,11,1745.430133391111400
5941,3793 - 3798,3793,3798,12,1771.526674433894000
5942,3793 - 3635,3793,3635,13,2109.806403900014600
5943,3793 - 2537,3793,2537,14,2713.160503484509300
5944,3793 - 3685,3793,3685,15,2801.186220060723400
5945,3793 - 2497,3793,2497,16,2810.079497055155100
5946,3793 - 2561,3793,2561,17,2879.700401035206600
5947,3793 - 4047,3793,4047,18,2892.729055143015100
5948,3793 - 3294,3793,3294,19,2983.467383470477200
5949,3793 - 1001,3793,1001,20,2987.423227745242900
5950,3793 - 3291,3793,3291,21,3049.913230406684800
5951,3793 - 2552,3793,2552,22,3076.303031878709100
5952,3793 - 2501,3793,2501,23,3081.938542136342700
5953,3793 - 3621,3793,3621,24,3099.230411082146000
5954,3793 - 3455,3793,3455,25,3114.422919236886600
5955,3793 - 2496,3793,2496,26,3146.878252118145200
5956,3793 - 3619,3793,3619,27,3319.075822704009200
5957,3793 - 2562,3793,2562,28,3379.715147207233700
5958,3793 - 4051,3793,4051,29,3403.561618476723200
5959,3793 - 2566,3793,2566,30,3478.518329322580000
5960,3793 - 3390,3793,3390,31,3485.952468887210200
5961,3793 - 2495,3793,2495,32,3525.647651030419600
5962,3793 - 2499,3793,2499,33,3565.564293519085800
5963,3793 - 2571,3793,2571,34,3602.993049164636000
5964,3793 - 4050,3793,4050,35,3604.732538045103400
5965,3793 - 2565,3793,2565,36,3659.398070018758500
5966,3793 - 2569,3793,2569,37,3779.091839936094900
5967,3793 - 3684,3793,3684,38,3836.821027337931400
5968,3793 - 2494,3793,2494,39,3838.198638590196400
5969,3793 - 2575,3793,2575,40,3881.266896596841400
5970,3793 - 2498,3793,2498,41,4000.048237849123800
5971,3793 - 2539,3793,2539,42,4003.829258951064700
5972,3793 - 2568,3793,2568,43,4014.891285126961100
5973,3793 - 2549,3793,2549,44,4134.052288157157800
5974,3793 - 2502,3793,2502,45,4254.684156081156300
5975,3793 - 3790,3793,3790,46,4276.264154534384000
5976,3793 - 4052,3793,4052,47,4301.520591040653000
5977,3793 - 3377,3793,3377,48,4405.722167698912900
5978,3793 - 3660,3793,3660,49,4407.668632780008900
5979,3793 - 4054,3793,4054,50,4416.262562463037300
5980,3793 - 3513,3793,3513,51,4446.832457551408900
5981,3793 - 2711,3793,2711,52,4516.373644935298200
5982,3793 - 4060,3793,4060,53,4536.085966149074900
5983,3793 - 2567,3793,2567,54,4619.382589346020700
5984,3793 - 2563,3793,2563,55,4626.891946765564200
5985,3793 - 4048,3793,4048,56,4704.168965770390100
5986,3793 - 4055,3793,4055,57,4750.476415295440300
5987,3793 - 3686,3793,3686,58,4794.898186293311500
5988,3793 - 3687,3793,3687,59,4920.927583510716400
5989,3793 - 2542,3793,2542,60,4957.084800075530400
5990,3793 - 2570,3793,2570,61,5017.203943386111900
5991,3793 - 4057,3793,4057,62,5053.451995962366700
5992,3793 - 2707,3793,2707,63,5157.537175305577000
5993,3793 - 2503,3793,2503,64,5168.099688260599600
5994,3793 - 3791,3793,3791,65,5224.019579346743700
5995,3793 - 2574,3793,2574,66,5279.061372865860000
5996,3793 - 2504,3793,2504,67,5432.047505617081700
5997,3793 - 3292,3793,3292,68,5490.865371650766100
5998,3793 - 2572,3793,2572,69,5639.355166276561200
5999,3793 - 2822,3793,2822,70,5665.309898555380600
6000,3793 - 4059,3793,4059,71,5914.452450439055600
6001,3793 - 4058,3793,4058,72,5932.466149832023800
6002,3793 - 2544,3793,2544,73,5994.693593693432400
6003,3793 - 3293,3793,3293,74,6454.473315154648800
6004,3793 - 2823,3793,2823,75,6596.219398611659000
6005,3793 - 4061,3793,4061,76,7303.703574938207600
6006,3793 - 4062,3793,4062,77,7941.321403584130200
6007,3291 - 3291,3291,3291,1,0.000000000000000
6008,3291 - 2561,3291,2561,2,170.212829371478280
6009,3291 - 1001,3291,1001,3,185.268399521877030
6010,3291 - 2497,3291,2497,4,284.281122827789600
6011,3291 - 2562,3291,2562,5,361.702619758868710
6012,3291 - 4051,3291,4051,6,416.492770392039920
6013,3291 - 2496,3291,2496,7,561.054543132838490
6014,3291 - 2565,3291,2565,8,612.607061521073770
6015,3291 - 2571,3291,2571,9,614.921205380952640
6016,3291 - 3390,3291,3390,10,685.360369669844430
6017,3291 - 3619,3291,3619,11,788.682953982643540
6018,3291 - 2569,3291,2569,12,792.022991851411010
6019,3291 - 4047,3291,4047,13,821.482482329669210
6020,3291 - 2498,3291,2498,14,957.852073602241380
6021,3291 - 2539,3291,2539,15,964.933505197081900
6022,3291 - 3635,3291,3635,16,967.103123432970280
6023,3291 - 2568,3291,2568,17,1027.822437042277000
6024,3291 - 2495,3291,2495,18,1046.057975884263900
6025,3291 - 3294,3291,3294,19,1143.024142857611000
6026,3291 - 2494,3291,2494,20,1169.862044388787400
6027,3291 - 2540,3291,2540,21,1325.714547535473000
6028,3291 - 3684,3291,3684,22,1390.173418158752400
6029,3291 - 3660,3291,3660,23,1420.599784695325800
6030,3291 - 3798,3291,3798,24,1431.855437496839200
6031,3291 - 4052,3291,4052,25,1443.759516335419000
6032,3291 - 3455,3291,3455,26,1469.415475994221200
6033,3291 - 2499,3291,2499,27,1506.191783372019200
6034,3291 - 4060,3291,4060,28,1544.243807650391300
6035,3291 - 2537,3291,2537,29,1565.540510200542900
6036,3291 - 3797,3291,3797,30,1629.678142312395500
6037,3291 - 2563,3291,2563,31,1635.049788266880600
6038,3291 - 3685,3291,3685,32,1653.566226776757300
6039,3291 - 3621,3291,3621,33,1673.395945836480000
6040,3291 - 3799,3291,3799,34,1732.297201170501500
6041,3291 - 4055,3291,4055,35,1763.407567210756000
6042,3291 - 2547,3291,2547,36,1781.021070795141000
6043,3291 - 3513,3291,3513,37,1913.440407217043200
6044,3291 - 2552,3291,2552,38,1928.683038594743000
6045,3291 - 2501,3291,2501,39,1934.318548852375900
6046,3291 - 2542,3291,2542,40,1970.015951990848000
